recept,kategorija,podkategorija
6337,sladice,torte
6302,sladice,ostalo
1860,mesne jedi,ostalo
11986,sladice,torte
6251,sladice,ostalo
8226,ozimnica,slani shranki
18195,sladice,pecivo
4709,sladice,torte
6566,mesne jedi,perutnina
12572,sladice,ostalo
3830,sladice,ostalo
18232,sladice,potice
9604,mesne jedi,perutnina
11424,sladice,torte
19348,kruh,
7116,sladice,pecivo
866,zelenjavne jedi,
10358,sladice,torte
8284,priloge,ostalo
1274,sladice,pecivo
2649,priloge,cmoki
1208,omake,tople
6850,sladice,pecivo
2943,sladice,pecivo
2028,sladice,pecivo
14129,sladice,pecivo
7129,sladice,piškoti
14625,sladice,piškoti
3695,zelenjavne jedi,
6943,zelenjavne jedi,
404,sladice,ostalo
14691,sladice,ostalo
4256,mesne jedi,svinjina
4589,mesne jedi,govedina
11315,priloge,riž
6841,sladice,torte
11367,mesne jedi,perutnina
4535,omake,prelivi
14851,sladice,pecivo
12332,sladice,piškoti
4702,sladice,piškoti
7167,ozimnica,slani shranki
2405,enolončnice,
14421,eksotika,ostale dežele
18344,sladice,piškoti
5801,sladice,piškoti
12807,mesne jedi,sesekljano meso
16693,sladice,ostalo
17311,sladice,pecivo
14477,predjedi,hladne
6523,sladice,piškoti
4573,sladice,kreme za torte in peciva
2924,mesne jedi,govedina
5034,kruh,
14884,mesne jedi,perutnina
2267,sladice,ostalo
2266,napitki,alkoholni
14375,sladice,ostalo
8142,ozimnica,sladki shranki
4233,sladice,pecivo
3787,kruh,
448,sladice,potice
13927,testenine,
13422,sladice,pecivo
11270,sladice,potice
3197,sladice,pecivo
11088,sladice,piškoti
3202,kruh,
5914,sladice,slano pecivo
6042,priloge,ostalo
10068,zelenjavne jedi,
4835,kruh,
731,enolončnice,
4733,kruh,
4153,ozimnica,slani shranki
12364,sladice,pecivo
2400,priloge,ostalo
13801,sladice,ostalo
6842,sladice,pecivo
1620,morska hrana,školjke
826,jajčne jedi,omlete
11126,sladice,torte
10234,sladice,ostalo
11283,sladice,pecivo
9760,sladice,ostalo
4808,sladice,pecivo
13612,sladice,piškoti
11510,ozimnica,sladki shranki
14193,sladice,torte
10202,predjedi,hladne
11662,mesne jedi,perutnina
6487,mesne jedi,teletina
445,sladice,pecivo
17563,sladice,kreme za torte in peciva
18376,kruh,
20194,kruh,
1457,sladice,pecivo
9699,sladice,slano pecivo
5650,sladice,pecivo
1250,ozimnica,pijače
12560,sladice,pecivo
1401,predjedi,tople
11987,mesne jedi,sesekljano meso
11357,kruh,
3454,sladice,torte
6897,sladice,ostalo
5469,sladice,pecivo
3524,sladice,kreme za torte in peciva
6488,sladice,pecivo
6745,sladice,ostalo
4345,sirove jedi,
1806,sladice,piškoti
2157,sladice,piškoti
2087,sladice,torte
10137,sladice,torte
9538,omake,prelivi
11590,sladice,torte
1956,priloge,krompir
10267,sladice,pecivo
11865,zelenjavne jedi,
3818,sladice,ostalo
4699,enolončnice,
3447,sladice,pecivo
14227,sladice,pecivo
19283,sladice,pecivo
1138,juhe in zakuhe,zelenjavne juhe
6133,sladice,pecivo
5522,mesne jedi,sesekljano meso
6031,testenine,
5453,sladice,pecivo
10832,sladice,ostalo
128,sirove jedi,
783,sladice,piškoti
10741,sladice,piškoti
2472,enolončnice,
15076,kruh,
11972,sladice,pecivo
5917,sladice,piškoti
13541,kruh,
14476,eksotika,ostale dežele
17726,sladice,pecivo
3049,sladice,pecivo
5689,sladice,piškoti
12144,mesne jedi,sesekljano meso
3854,sladice,palačinke
5548,sladice,pecivo
5206,ozimnica,slani shranki
4689,kruh,
4380,priloge,ostalo
6614,predjedi,tople
13687,sladice,torte
1946,sladice,pecivo
4959,sladice,ostalo
11969,sladice,pecivo
8403,mesne jedi,perutnina
4458,sladice,potice
1334,sladice,pecivo
5579,kruh,
10088,sladice,torte
4788,sladice,torte
4517,eksotika,Havaji
1774,priloge,cmoki
3984,sladice,ostalo
16857,sladice,ostalo
9530,eksotika,Kitajska
6563,sladice,ostalo
7050,sladice,torte
436,sladice,pecivo
6424,sladice,piškoti
5533,kruh,
18258,kruh,
12299,testenine,
17572,ozimnica,ostalo
4130,enolončnice,
5576,priloge,krompir
7152,priloge,krompir
5879,sladice,pecivo
16958,solate,
1750,sladice,pecivo
15510,sladice,pecivo
8171,mesne jedi,svinjina
10889,sladice,pecivo
5680,sladice,pecivo
4101,sladice,ostalo
4302,sladice,pecivo
10259,sladice,torte
9493,sladice,pecivo
10538,ozimnica,pijače
11435,mesne jedi,perutnina
12416,kruh,
14559,sladice,piškoti
13235,juhe in zakuhe,zelenjavne juhe
5017,sladice,ostalo
3362,sirove jedi,
10121,sladice,torte
11249,sladice,piškoti
11308,juhe in zakuhe,zelenjavne juhe
19514,sladice,slano pecivo
