recept,kategorija,podkategorija
5437,juhe in zakuhe,zelenjavne juhe
8389,sladice,pecivo
10584,juhe in zakuhe,zelenjavne juhe
13785,sladice,ostalo
13266,sladice,torte
9679,enolončnice,
13552,sladice,piškoti
10637,sladice,ostalo
1404,sladice,ostalo
14394,mesne jedi,mešano meso
3096,sladice,pecivo
2965,kruh,
14159,sladice,torte
10252,sladice,pecivo
9692,sladice,pecivo
12455,sladice,piškoti
4343,sladice,ostalo
5196,morska hrana,ostalo
858,priloge,ostalo
10742,sladice,piškoti
4114,sladice,pecivo
11887,sladice,pecivo
10222,sladice,pecivo
14676,priloge,ostalo
6050,omake,tople
14501,sladice,pecivo
12522,zelenjavne jedi,
4706,kruh,
7006,sladice,ostalo
213,gobje jedi,
14211,sladice,pecivo
1301,mesne jedi,mešano meso
4681,sladice,torte
12951,testenine,
5452,sladice,piškoti
11863,ozimnica,slani shranki
12493,sladice,pecivo
14099,sladice,slano pecivo
10299,enolončnice,
17986,sladice,ostalo
10800,sladice,piškoti
5687,sladice,pecivo
4728,kruh,
2055,sirove jedi,
11103,priloge,riž
6147,mesne jedi,perutnina
1768,sladice,potice
6354,ostale jedi,
4419,kruh,
10751,sladice,ostalo
11371,sladice,pecivo
14485,predjedi,hladne
4126,enolončnice,
3872,sladice,pecivo
3761,sladice,ostalo
12056,sladice,torte
342,sladice,pecivo
14632,sladice,torte
6336,sladice,ostalo
1423,enolončnice,
18421,sladice,kreme za torte in peciva
