id,naslov,objava,letoobjave,zahtevnost,priprava,kolicina,stmnenj,stfoto,zadnjafoto,letofoto,zdravajed
1736,Londonske rezine,28.2.2002,,1,60,,77,9,13.3.2016,,
10540,Rogljički s čokolado,7.10.2007,,2,120,24 rogljičkov,164,63,20.6.2016,,
5044,Goveji golaž,3.6.2005,,2,120,za 8 oseb,84,5,3.4.2016,,
4842,Osnovno vlečeno testo,25.3.2005,,1,,,92,13,9.2.2015,,
4108,Kokosove kocke,4.10.2004,,1,,,69,11,22.9.2014,,
12037,Najboljši razpokani čokoladni piškotki,16.12.2008,,3,60,približno 30,139,26,1.1.2016,,
141,Slivovi cmoki,24.9.1998,,1,60,,91,10,7.12.2014,,
1896,Marelični cmoki iz skutnega testa,17.7.2002,,1,,12 cmokov,137,14,20.7.2016,,
11754,Sarajevsko pecivo,29.9.2008,,3,60,,50,8,3.8.2016,,
378,Pehtranova potica,24.12.1999,,1,180,,54,17,22.8.2016,,
9450,Kruh brez gnetenja,23.12.2006,,1,4+ ur,,332,68,2.3.2016,,
410,Tiramisu,26.1.1999,,1,30,,62,10,10.8.2014,,
10855,Brizgani piškot,26.12.2007,,3,120,za 60 kosov,64,33,18.12.2015,,
16994,Jaffa kroglice,13.4.2012,,2,45,cca. 30kroglic,90,21,19.8.2016,,
12581,Čokoladni sufle,6.5.2009,,3,60,odvisno od modelčkov,87,24,31.10.2014,,
12221,Marmorni kolač,30.1.2009,,2,60,,61,13,27.10.2015,,
1929,Piščančja obara z žličniki,11.8.2002,,1,90,4 osebe,93,11,5.11.2014,,
1660,Lazanja z mesno omako,29.1.2002,,3,,,75,10,24.12.2014,,
2535,Ledeni veter,10.4.2003,,1,120,,100,12,6.9.2016,,
11585,Borovničevo pecivo,1.8.2008,,1,75,,46,17,23.6.2015,,
6880,Jogurtovo poletno pecivo,10.7.2006,,2,240,Tortni model ali srednje velik pekač,121,22,14.5.2015,,
3158,Jagermaister tete Pehte,29.1.2004,,3,,,144,4,19.12.2010,,
14346,"Enostavni čokoladni ""cookies""",30.10.2010,,2,30,ca. 20 kosov,63,16,1.2.2016,,
5737,Orehova rulada,18.11.2005,,1,45,,153,15,29.1.2016,,
