id,naslov,objava,avtor,spol,priprava,kolicina,stmnenj,stfoto,zadnjafoto,kategorija,podkategorija,zdravajed
10393,Testeninska solata,30.8.2007,darjuška,ženska,15 minut,,3,1,28.8.2007,solate,,
10404,Božična marmelada,1.9.2007,Jelenckova,spol ni določen oz. marsovec,90 minut,,31,3,6.1.2012,ozimnica, sladki shranki,
10406,Gosti jagodni sok.,1.9.2007,patricia 3,ženska,90 minut,,6,2,18.6.2011,napitki, brezalkoholni,
10408,Jogurtova bomba,2.9.2007,gianja,ženska,15 minut,,112,14,30.10.2015,sladice, ostalo,
10410,Pirin kruh,2.9.2007,jasna1,spol ni določen oz. marsovec,120 minut,,39,8,28.3.2016,kruh,,Bolj zdrava jed
10458,Grška torta,13.9.2007,Vendelina jr.,ženska,120 minut,,59,8,6.12.2015,sladice, torte,
10498,Tortilje,25.9.2007,umki,spol ni določen oz. marsovec,15 minut,8 kosov,17,4,26.1.2016,eksotika, ostale dežele,
10504,Njoki moje mame,26.9.2007,DORI,ženska,60 minut,za 4 osebe,23,2,28.9.2008,priloge, krompir,
10538,Grozdni sok,7.10.2007,trot,ženska,120 minut,ca.15 steklenic,29,5,8.10.2007,ozimnica, pijače,
10540,Rogljički s čokolado,7.10.2007,jade,ženska,120 minut,24 rogljičkov,164,63,20.6.2016,sladice, pecivo,
10550,Puranje roladice v sirovi omaki,10.10.2007,a1,ženska,45 minut,za 4 osebe,23,7,26.11.2014,mesne jedi, perutnina,
10575,Lepinje - Dafke,16.10.2007,Dafke,moški,90 minut,4,49,9,7.2.2012,kruh,,
10578,Žemlje - Dafke,17.10.2007,Dafke,moški,75 minut,16,143,44,2.3.2015,kruh,,
10584,Korenčkova juha z zdrobom,20.10.2007,matmik1,ženska,30 minut,,15,1,28.10.2007,juhe in zakuhe, zelenjavne juhe,
10601,Segedin golaž po Mojčino,23.10.2007,lili A.,ženska,60 minut,,39,3,17.4.2016,enolončnice,,
10602,Sarma na način mame Vide,23.10.2007,trezika,moški,180 minut,4 - 6 oseb,32,12,28.2.2016,mesne jedi, mešano meso,
10606,Dobri skutini cmoki,24.10.2007,alovsin,ženska,15 minut,Odvisno od veličine,27,6,24.12.2014,sladice, ostalo,
10637,Praline,2.11.2007,mamamia,ženska,30 minut,za 20 kosov,63,18,28.11.2014,sladice, ostalo,
10645,Enostaven atomski štrudelj,4.11.2007,ivona,ženska,60 minut,,12,3,6.10.2013,sladice, pecivo,
10702,Prekmurski dodoli - DÖDÖLI ,19.11.2007,vucko1.1,ženska,30 minut,za 4 - 6 oseb,33,2,11.3.2009,priloge, krompir,
10708,Smetanove rezine z orehi,20.11.2007,Pesnica,ženska,60 minut,,40,8,24.1.2013,sladice, pecivo,
10709,Sočna jabolčna pita,20.11.2007,PIKA1,ženska,120 minut,,13,3,5.11.2013,sladice, pecivo,
10710,Jabolčno - skutina pita,20.11.2007,majdi,ženska,60 minut,,15,3,16.4.2011,sladice, pecivo,
10724,Piščanec z arašidi ,23.11.2007,činča,ženska,30 minut,4 osebe,10,4,27.10.2015,eksotika, Kitajska,
10740,Kljukuša s piščancem,29.11.2007,MissLady,ženska,90 minut,za 4 osebe,30,7,23.7.2012,mesne jedi, perutnina,
10741,Kokosovi makroni,29.11.2007,anja27,ženska,90 minut,50 piškotov ,30,17,18.8.2014,sladice, piškoti,
10742,Mandljevi hrustavčki,29.11.2007,anja27,ženska,30 minut,40 piškotov,28,9,24.2.2013,sladice, piškoti,
10751,Marmorni kolač,1.12.2007,seherezada,ženska,75 minut,,9,1,27.11.2007,sladice, ostalo,
10752,Testomat keksi,1.12.2007,seherezada,ženska,30 minut,3 veliki pekači,44,6,19.8.2010,sladice, piškoti,
10765,Kaneloni na drugačen način,5.12.2007,vanilija76,ženska,60 minut,,17,3,9.5.2011,mesne jedi, mešano meso,
10800,Čokoladni srčki,13.12.2007,anja27,ženska,4+ ur,60 piškotkov velikosti 4 cm,40,9,21.12.2012,sladice, piškoti,
10802,Vroča čokolada (kot v lokalu),13.12.2007,tinka85,ženska,15 minut,za 6 - 7 oseb,22,2,25.1.2014,sladice, ostalo,
10811,Praznični piškoti,15.12.2007,baby girl,spol ni določen oz. marsovec,75 minut,,35,5,30.3.2015,sladice, piškoti,
10832,Biskvit z luknjami,19.12.2007,janadam,ženska,30 minut,,68,13,29.4.2013,sladice, ostalo,
10848,Hrenovke v testu,24.12.2007,WildTigress,ženska,60 minut,5 oseb,21,3,1.7.2009,predjedi, tople,
10849,Istrski cukarini,24.12.2007,mamamia,ženska,120 minut,za 50 kosov,67,21,27.1.2015,sladice, piškoti,
10851,Nebeški poljubčki,25.12.2007,mamamia,ženska,120 minut,za 45 piškotkov,99,23,20.6.2016,sladice, piškoti,
10855,Brizgani piškot,26.12.2007,mamamia,ženska,120 minut,za 60 kosov,64,33,18.12.2015,sladice, piškoti,
10889,Ekstaza,31.12.2007,ajvika,ženska,60 minut,,30,7,13.10.2013,sladice, pecivo,
10899,Bele kocke,5.1.2008,Zdenkica,ženska,15 minut,,20,7,3.1.2015,predjedi, hladne,
10917,Slane palčke,9.1.2008,KristinaG,ženska,60 minut,,19,4,11.9.2012,sladice, slano pecivo,
10918,"Muffini z jabolki, cimetom in rozinami",9.1.2008,Tinkerbell,ženska,45 minut,,26,3,8.10.2015,sladice, pecivo,
10931,Jabolčno pecivo s keksi,12.1.2008,duskamb,ženska,45 minut,velik pekač!!!!,29,8,22.8.2016,sladice, ostalo,
10947,Palačinke s skuto + osnovni recept za palačinke,15.1.2008,uros 99,moški,30 minut,,50,9,19.7.2014,sladice, palačinke,
10983,Masa za oblikovanje 3D tort,23.1.2008,katka lopatka,spol ni določen oz. marsovec,180 minut,,84,28,30.11.2015,sladice, torte,
11,Čebulna juha,4.9.2000,Marinka,ženska,,,32,4,22.9.2014,juhe in zakuhe, zelenjavne juhe,
11014,Koruzna kremna juha - mehiška,30.1.2008,bannanna,ženska,45 minut,4 osebe,51,6,28.2.2016,juhe in zakuhe, zelenjavne juhe,
11032,Kakijeva marmelada ,3.2.2008,mamaF,ženska,75 minut,"pribl.10-12 kozarcev po 3,7 dl",15,3,5.11.2014,ozimnica, sladki shranki,
11036,Goveji vampi,4.2.2008,Lejla13,ženska,120 minut,,10,2,12.11.2015,mesne jedi, notranji deli,
11037,Kokosova bajadera,4.2.2008,KristinaG,ženska,60 minut,,17,7,23.9.2012,sladice, pecivo,
11044,Ledena torta Karmen,5.2.2008,evamaja,ženska,120 minut,12 oseb,224,87,27.7.2016,sladice, torte,
11055,Božanska pica,9.2.2008,*~Petra~*,ženska,120 minut,pica s premerom 25 cm,19,5,22.7.2010,ostale jedi,,
11058,Zdrobova juha s korenčkom,9.2.2008,morska medvedka,ženska,15 minut,1 krožnik,28,3,3.2.2013,otroška hrana, otroci,
11061,Panna cotta,14.2.2008,*CaTh*,ženska,90 minut,10 oseb (po 1dcl),36,5,3.4.2010,sladice, pudingi,
11067,Palačinke (osnovni recept),18.2.2008,Nikitamena,ženska,30 minut,za 2 osebi,52,9,27.3.2016,sladice, palačinke,
11073,Flancati (po moji mami - krhki),22.2.2008,katja_no1,ženska,75 minut,,15,3,6.3.2014,sladice, pecivo,
11081,Flancati - kvašeni,20.2.2008,tinka85,ženska,90 minut,5,4,1,9.2.2008,sladice, pecivo,
11088,Kukiji s čokolado,21.2.2008,mamaF,ženska,90 minut,za 4 velike pekače,47,18,27.10.2015,sladice, piškoti,
11103,Riževe kroglice s sirom,24.2.2008,hanna,ženska,60 minut,,14,1,29.10.2010,priloge, riž,
11111,Kobariški štruklji ( po receptu  mame Pepce ),25.2.2008,lucka52,ženska,120 minut,odvisno od velikosti strukljev,45,10,5.3.2012,sladice, ostalo,
11126,Enostavna puding torta,28.2.2008,ursacol02,ženska,45 minut,za 8 kosov,26,10,17.11.2013,sladice, torte,
11131,Skutno - sadno pecivo,29.2.2008,cačko,ženska,75 minut,,7,4,29.8.2013,sladice, pecivo,
11138,Piškoti za žlehtnobe,2.3.2008,šjorca,ženska,120 minut,,31,3,26.5.2014,sladice, piškoti,
11144,Piškoti,3.3.2008,tibe,ženska,120 minut,,28,4,30.11.2015,sladice, piškoti,
11147,"Krompirjeva solata, posebno dobra",3.3.2008,macica,ženska,45 minut,za 4 osebe,30,1,23.3.2008,priloge, krompir,
11151,Smetanove rezine A1 ,4.3.2008,anamarija1,spol ni določen oz. marsovec,45 minut,12 kosov,27,9,17.4.2016,sladice, ostalo,
11152,Ježki,4.3.2008,Roncolino,ženska,180 minut,50 kosov,32,17,27.10.2015,sladice, pecivo,
11183,Rižota z jurčki,10.3.2008,morska medvedka,ženska,45 minut,4 osebe,19,4,21.10.2012,gobje jedi,,
11194,Slani mafini,13.3.2008,DUŠANKA,ženska,60 minut,,14,1,10.3.2008,sladice, slano pecivo,
11201,Kraljevski krompir,13.3.2008,mansaj,ženska,45 minut,,140,20,11.5.2016,priloge, krompir,
11249,Linški piškoti,28.3.2008,Angelique,ženska,90 minut,,13,3,24.7.2011,sladice, piškoti,
11270,Nevzhajana orehova potica,2.4.2008,Basti,ženska,120 minut,,28,12,28.3.2016,sladice, potice,
11283,Čoko koko rezine,5.4.2008,tanyči,ženska,45 minut,,33,6,12.1.2015,sladice, pecivo,
11308,Čemaževa juha,12.4.2008,karamazov,spol ni določen oz. marsovec,15 minut,za 2 osebi,31,7,18.5.2016,juhe in zakuhe, zelenjavne juhe,
11311,Zelenjavna pita,12.4.2008,Zdenkica,ženska,45 minut,,8,6,4.11.2013,zelenjavne jedi,,
11315,Rižota s šparglji,13.4.2008,Mojca32,ženska,30 minut,2 osebi,20,5,14.4.2014,priloge, riž,
11349,Morska bomba ,19.4.2008,mamaF,ženska,45 minut,za 4 - 5 oseb,20,4,6.9.2012,morska hrana, ostalo,
11357,Pirin kruh brez kvasa,21.4.2008,plezalka,ženska,120 minut,,31,5,18.5.2016,kruh,,Bolj zdrava jed
11367,"Piščanec ""Sezam, odpri se""",25.4.2008,katka lopatka,spol ni določen oz. marsovec,60 minut,za 4 osebe,45,9,30.12.2013,mesne jedi, perutnina,
11371,Kokosovo bananina rezina Maja,26.4.2008,MISKA01,ženska,45 minut,,13,6,22.11.2015,sladice, pecivo,
1138,zelenjavna juha,28.4.2001,,,,za 4 osebe,8,1,6.9.2008,juhe in zakuhe, zelenjavne juhe,
11380,Bela tropska torta,28.4.2008,Vendelina jr.,ženska,4+ ur,,129,15,15.12.2012,sladice, torte,
11385,"Gratinirane testenine s paradižnikom, olivami, feto in baziliko",3.5.2008,mamaF,ženska,60 minut,za 3 - 4 osebe (pekač premera 24 cm),10,1,26.4.2008,testenine,,
11421,Mozart torta po moje,17.5.2008,muffin,ženska,4+ ur,,68,20,11.5.2014,sladice, torte,
11424,Torta Bounty Nutella,19.5.2008,rukula,spol ni določen oz. marsovec,60 minut,,29,8,30.10.2014,sladice, torte,
11426,Sladoled za ljubitelje Nutelle,20.5.2008,lucka52,ženska,30 minut,,36,7,14.6.2010,sladice, sladoledi,
11429,Pozabljen kruh,21.5.2008,anamarija1,spol ni določen oz. marsovec,60 minut,10 oseb,14,4,24.9.2015,priloge, ostalo,
11435,Puranji zrezki v gobovi omaki,23.5.2008,lunastar,ženska,45 minut,Za 4 osebe,22,1,23.5.2008,mesne jedi, perutnina,
115,Kruhovi cmoki,13.10.1998,Marinka,ženska,,,10,4,9.2.2011,priloge, cmoki,
11510,Pečen slivov džem,2.7.2008,mišika,ženska,180 minut,,147,6,6.10.2010,ozimnica, sladki shranki,
