id,naslov,objava,avtor,spol,priprava,kolicina,stmnenj,stfoto,zadnjafoto,kategorija,podkategorija,zdravajed,letofoto,letoobjave,idavtorja
11044,Ledena torta Karmen,5.2.2008,"{'id': 'evamaja', 'avtor': 'evamaja'}",ženska,120,12 oseb,224,87,27.7.2016,, torte,0,2016,2008,evamaja
13505,Trikrat pečeno pecivo,14.2.2010,"{'id': 'damjanas', 'avtor': 'damjanas'}",ženska,60,pekač cca. 32 x 25,45,11,7.6.2016,, pecivo,0,2016,2010,damjanas
13016,Skutino pecivo,29.9.2009,"{'id': 'mfa7nqe1zmhz10sy', 'avtor': 'Peteruška'}",ženska,60,,52,11,3.10.2015,, pecivo,0,2015,2009,mfa7nqe1zmhz10sy
13379,Božično novoletni piškoti,31.12.2009,"{'id': 'ml9ze7w0sxb5f4k1', 'avtor': 'mateja.vidic'}",ženska,45,,79,27,1.1.2016,, piškoti,0,2016,2009,ml9ze7w0sxb5f4k1
1190,Sočno skutino pecivo,29.5.2001,"{'id': 'mobng12', 'avtor': 'mobng12'}",ženska,,,113,10,3.7.2012,, pecivo,0,2012,2001,mobng12
4440,Moj domači kruh,28.12.2004,"{'id': 'harmonija', 'avtor': 'harmonija'}",ženska,,1 kg kruha,121,27,19.2.2016,,,0,2016,2004,harmonija
65,Musaka,2.10.2000,"{'id': 'marinka', 'avtor': 'Marinka'}",ženska,,,88,7,26.3.2014,, sesekljano meso,0,2014,2000,marinka
4377,Preprosti keksi,4.12.2004,"{'id': 'jade', 'avtor': 'jade'}",ženska,90,40 piškotov,123,37,3.10.2015,, piškoti,0,2015,2004,jade
11201,Kraljevski krompir,13.3.2008,"{'id': 'mansaj', 'avtor': 'mansaj'}",ženska,45,,140,20,11.5.2016,, krompir,0,2016,2008,mansaj
14392,Klasična mesna lazanja,9.11.2010,"{'id': 'jannaa', 'avtor': 'Jannaa'}",ženska,60,za 4 osebe,43,10,19.2.2016,, sesekljano meso,0,2016,2010,jannaa
14137,Ameriške palačinke,5.9.2010,"{'id': 'vmxxscgcvln59494', 'avtor': 'Natalija A.'}",ženska,15,12 palačink,125,44,27.9.2016,, palačinke,0,2016,2010,vmxxscgcvln59494
1667,Potratna potica št. 2,30.1.2002,"{'id': 'marinka', 'avtor': 'Marinka'}",ženska,180,,119,35,5.4.2015,, potice,0,2015,2002,marinka
13276,Piščančji file v listnatem testu,9.12.2009,"{'id': 'katka0', 'avtor': 'katka0'}",ženska,60,Za 4 osebe,77,23,28.5.2016,, perutnina,0,2016,2009,katka0
16159,Ferrero torta,8.12.2011,"{'id': 'ninck88', 'avtor': 'ninck88'}",ženska,60,,119,52,31.1.2016,, torte,0,2016,2011,ninck88
4123,Rumove kroglice,7.10.2004,"{'id': 'galja', 'avtor': 'galja'}",ženska,30,,54,18,26.9.2015,, pecivo,0,2015,2004,galja
16802,"Čokoladna torta (presna, veganska)",4.3.2012,"{'id': 'tacyka', 'avtor': 'Tacyka'}",ženska,45,,103,22,21.6.2015,, torte,1,2015,2012,tacyka
380,Pijana nevesta,12.7.1999,"{'id': 'marinka', 'avtor': 'Marinka'}",ženska,60,,85,9,3.10.2015,, pecivo,0,2015,1999,marinka
1670,Pasulj,1.2.2002,"{'id': 'henri', 'avtor': 'Henri'}",moški,,za 4 osebe,54,1,24.11.2008,,,0,2008,2002,henri
3726,Bezgov sirup,4.6.2004,"{'id': 'tanjam', 'avtor': 'tanjam'}",ženska,,,144,4,23.6.2015,, pijače,0,2015,2004,tanjam
6140,Goveji zrezki v omaki,23.2.2006,"{'id': 'sarabande', 'avtor': 'sarabande'}",moški,,za 2 osebi,68,5,3.4.2016,, govedina,0,2016,2006,sarabande
1276,Sacher torta,8.8.2001,"{'id': None, 'avtor': None}",,,,114,47,12.7.2016,, torte,0,2016,2001,
11629,Zdrav pirin kruh dr. Nine,17.8.2008,"{'id': 'recepti', 'avtor': 'recepti'}",ženska,75,1 hlebec,96,19,11.6.2015,,,1,2015,2008,recepti
393,Rižev narastek,2.6.2000,"{'id': 'marinka', 'avtor': 'Marinka'}",ženska,75,,85,10,3.2.2015,, pecivo,0,2015,2000,marinka
4000,Rafaelo pecivo,5.9.2004,"{'id': 'cw2fkcjwqhkpx7l7', 'avtor': 'kuharska knjiga'}",ženska,,,84,10,6.7.2015,, pecivo,0,2015,2004,cw2fkcjwqhkpx7l7
7199,Polnjena paprika na klasičen način,20.9.2006,"{'id': 'atina', 'avtor': 'Atina'}",ženska,180,8 - 10 paprik,56,6,24.9.2013,, mešano meso,0,2013,2006,atina
6780,Makov biskvit s kremo,20.6.2006,"{'id': 'stasafrank', 'avtor': 'stasafrank'}",ženska,90,pekač 25x35cm,95,18,20.1.2015,, pecivo,0,2015,2006,stasafrank
